condition,has_missing,image,tp,conf,h_px,w_px,area_frac,h_vs_median,h_vs_min,n_labels,max_label_iou,covered_by_labels,touches_edge,cy_frac
missing_10,1,000846.png,0,0.5873,31.7,89.3,0.006078,1.318,2.194,7,0.0,0.0,0,0.536
missing_10,1,000851.png,1,0.8702,36.3,47.0,0.003669,1.267,1.267,1,0.0,0.0,0,0.532
missing_10,1,000859.png,1,0.9184,116.8,165.8,0.041597,3.457,6.901,5,0.114,0.138,0,0.631
missing_10,1,000930.png,1,0.9407,212.8,373.5,0.170625,2.676,2.676,1,0.035,0.038,1,0.716
missing_10,1,000930.png,1,0.8378,37.8,46.3,0.003755,0.475,0.475,1,0.0,0.0,0,0.524
missing_10,1,000930.png,0,0.6126,27.6,32.0,0.001896,0.347,0.347,1,0.0,0.0,0,0.491
missing_10,1,000936.png,1,0.6846,52.8,108.5,0.012298,0.787,1.77,11,0.418,0.832,0,0.555
missing_10,1,000970.png,1,0.8386,32.5,41.0,0.00286,0.718,0.849,5,0.0,0.0,0,0.513
missing_10,1,000970.png,0,0.5361,154.5,85.1,0.028234,3.414,4.037,5,0.0,0.0,1,0.792
missing_10,1,000985.png,0,0.5331,30.8,87.6,0.005783,0.678,1.434,10,0.297,0.963,0,0.538
missing_10,1,000985.png,0,0.5076,44.9,110.9,0.010684,0.989,2.093,10,0.575,1.0,0,0.56
missing_10,1,000998.png,1,0.6931,31.7,40.4,0.002752,0.534,1.652,7,0.125,0.295,0,0.519
missing_10,1,001013.png,0,0.5684,16.8,25.9,0.000934,0.274,0.576,9,0.0,0.0,0,0.495
missing_10,1,001044.png,0,0.5283,23.4,49.3,0.002475,0.505,0.705,7,0.0,0.0,0,0.485
missing_10,1,001100.png,0,0.5274,27.6,50.5,0.002992,0.292,1.103,8,0.756,0.976,0,0.534
missing_10,1,001158.png,0,0.5436,106.7,110.1,0.025173,3.236,3.573,5,0.436,1.0,1,0.671
missing_10,1,001209.png,0,0.7218,53.7,128.2,0.014787,1.315,3.734,13,0.747,0.927,0,0.54
missing_10,1,001226.png,1,0.9257,117.4,258.5,0.065177,5.33,6.683,3,0.0,0.0,0,0.663
missing_20,1,000019.png,1,0.947,132.3,194.4,0.055217,-1.0,-1.0,0,0.0,0.0,0,0.666
missing_20,1,000019.png,0,0.6061,42.0,47.5,0.004286,-1.0,-1.0,0,0.0,0.0,0,0.513
missing_20,1,000019.png,1,0.5221,18.1,22.9,0.000892,-1.0,-1.0,0,0.0,0.0,0,0.518
missing_20,1,000060.png,0,0.5116,25.2,42.0,0.002271,0.399,0.399,1,0.0,0.0,0,0.505
missing_20,1,000066.png,1,0.8232,27.4,42.9,0.002523,0.724,0.724,1,0.0,0.0,0,0.492
missing_20,1,000107.png,1,0.9311,132.6,200.4,0.057037,2.411,5.057,6,0.165,0.576,0,0.657
missing_20,1,000136.png,1,0.7836,36.9,68.8,0.005446,0.734,1.373,5,0.001,0.031,0,0.566
missing_20,1,000178.png,1,0.9442,183.9,352.7,0.139285,3.571,7.308,5,0.248,0.338,1,0.752
missing_20,1,000178.png,1,0.9092,62.7,85.1,0.011449,1.217,2.491,5,0.417,0.468,0,0.561
missing_20,1,000178.png,0,0.6714,31.8,44.1,0.003011,0.617,1.262,5,0.0,0.0,0,0.529
missing_20,1,000178.png,1,0.6405,32.4,42.7,0.002968,0.628,1.285,5,0.132,0.382,0,0.51
missing_20,1,000194.png,1,0.9091,56.5,80.6,0.009776,1.919,1.919,1,0.0,0.0,0,0.554
missing_20,1,000286.png,1,0.8626,57.6,79.3,0.009811,1.203,2.777,9,0.441,0.488,0,0.551
missing_20,1,000286.png,1,0.8155,26.3,80.2,0.004522,0.548,1.265,9,0.053,0.261,0,0.534
missing_20,1,000357.png,1,0.9183,126.9,244.8,0.066579,2.298,3.633,6,0.11,0.134,0,0.667
missing_20,1,000386.png,1,0.8681,34.5,47.0,0.003471,0.288,0.848,4,0.062,0.245,0,0.53
missing_20,1,000386.png,1,0.8625,57.8,96.6,0.011962,0.482,1.42,4,0.068,0.975,0,0.553
missing_20,1,000386.png,1,0.7752,34.8,58.7,0.00438,0.29,0.856,4,0.105,0.462,0,0.533
missing_20,1,000421.png,1,0.8724,36.3,110.7,0.008618,1.127,1.816,6,0.211,0.274,0,0.527
missing_20,1,000456.png,1,0.906,82.1,98.0,0.017284,2.7,2.7,1,0.0,0.0,0,0.59
missing_20,1,000462.png,1,0.8402,88.7,94.9,0.018064,0.898,1.335,5,0.0,0.0,0,0.584
missing_20,1,000462.png,1,0.8345,99.8,206.8,0.044304,1.011,1.503,5,0.454,0.569,0,0.574
missing_20,1,000493.png,1,0.8452,192.2,292.2,0.120576,5.654,7.563,3,0.0,0.0,1,0.744
missing_20,1,000512.png,1,0.864,31.9,57.1,0.003905,-1.0,-1.0,0,0.0,0.0,0,0.536
missing_20,1,000539.png,1,0.8233,30.5,63.2,0.004145,1.335,1.624,5,0.182,0.254,0,0.528
missing_20,1,000539.png,1,0.8231,33.3,71.8,0.005124,1.453,1.768,5,0.051,0.131,0,0.537
missing_20,1,000612.png,1,0.8479,77.9,116.7,0.01951,1.222,2.696,8,0.23,0.322,0,0.614
missing_20,1,000612.png,0,0.598,83.7,200.2,0.036006,1.314,2.899,8,0.493,0.766,0,0.579
missing_20,1,000616.png,1,0.9291,52.7,65.7,0.007422,1.674,1.674,1,0.026,0.038,0,0.551
missing_20,1,000616.png,1,0.9233,117.0,150.6,0.037845,3.72,3.72,1,0.0,0.0,0,0.632
missing_20,1,000623.png,1,0.7567,51.0,78.3,0.008579,0.64,2.038,6,0.325,0.407,0,0.566
missing_20,1,000657.png,1,0.5261,17.4,21.1,0.000788,1.155,1.155,1,0.0,0.0,0,0.491
missing_20,1,000664.png,1,0.5068,37.1,38.7,0.003103,0.675,1.172,4,0.204,0.561,0,0.509
missing_20,1,000725.png,1,0.9114,107.0,235.2,0.053912,1.601,3.864,6,0.483,0.513,0,0.634
missing_20,1,000725.png,0,0.7598,41.6,60.6,0.005402,0.623,1.503,6,0.809,0.833,0,0.547
missing_20,1,000729.png,0,0.5949,38.3,90.7,0.007461,0.454,0.972,6,0.687,0.837,0,0.506
missing_20,1,000747.png,1,0.8177,31.3,51.5,0.003457,1.136,1.373,4,0.31,0.453,0,0.526
missing_20,1,000843.png,1,0.9357,123.0,195.0,0.051494,1.877,5.867,6,0.0,0.0,0,0.637
missing_20,1,000846.png,0,0.696,38.2,108.0,0.008848,1.587,2.641,7,0.0,0.0,0,0.542
missing_20,1,000846.png,0,0.5873,31.7,89.3,0.006078,1.318,2.194,7,0.0,0.0,0,0.536
missing_20,1,000882.png,1,0.9542,68.3,143.6,0.021075,1.33,2.917,7,0.0,0.0,0,0.572
missing_20,1,000882.png,1,0.9212,141.5,204.5,0.062106,2.753,6.038,7,0.0,0.0,1,0.699
missing_20,1,000897.png,1,0.7559,38.4,85.3,0.007023,1.797,1.797,1,0.0,0.0,0,0.557
missing_20,1,000910.png,1,0.6419,43.2,45.7,0.004237,0.48,1.868,7,0.064,0.078,0,0.551
missing_20,1,000918.png,1,0.8902,54.6,55.5,0.006505,1.146,2.689,6,0.418,0.507,0,0.55
missing_20,1,000930.png,1,0.8378,37.8,46.3,0.003755,0.176,0.475,2,0.0,0.0,0,0.524
missing_20,1,000930.png,0,0.6126,27.6,32.0,0.001896,0.129,0.347,2,0.0,0.0,0,0.491
missing_20,1,000933.png,1,0.8974,43.4,60.5,0.005629,-1.0,-1.0,0,0.0,0.0,0,0.547
missing_20,1,000936.png,1,0.9273,190.2,213.1,0.087037,2.305,6.056,8,0.428,0.428,1,0.745
missing_20,1,000936.png,1,0.8931,46.0,52.8,0.005217,0.557,1.464,8,0.387,0.403,0,0.552
missing_20,1,000936.png,1,0.7665,64.1,140.9,0.01938,0.776,2.039,8,0.516,0.608,0,0.574
missing_20,1,000970.png,1,0.7915,37.3,124.1,0.009948,0.486,1.141,4,0.0,0.0,0,0.487
missing_20,1,000970.png,0,0.5361,154.5,85.1,0.028234,2.013,4.722,4,0.0,0.0,1,0.792
missing_20,1,000985.png,1,0.9612,182.6,376.0,0.147156,4.02,8.507,8,0.118,0.119,1,0.753
missing_20,1,000985.png,1,0.5383,21.0,22.0,0.000991,0.462,0.977,8,0.0,0.0,0,0.517
missing_20,1,000985.png,0,0.5331,30.8,87.6,0.005783,0.678,1.434,8,0.297,0.963,0,0.538
missing_20,1,000985.png,0,0.5076,44.9,110.9,0.010684,0.989,2.093,8,0.575,1.0,0,0.56
missing_20,1,000998.png,1,0.8867,72.3,150.9,0.023435,1.217,3.764,6,0.13,0.181,0,0.634
missing_20,1,000998.png,1,0.8535,42.4,76.9,0.006993,0.713,2.205,6,0.09,0.24,0,0.552
missing_20,1,001013.png,1,0.9351,69.1,103.8,0.015372,1.128,2.369,6,0.091,0.105,0,0.57
missing_20,1,001013.png,1,0.9229,193.8,370.6,0.153954,3.165,6.645,6,0.26,0.261,1,0.74
missing_20,1,001013.png,1,0.5956,32.7,65.7,0.004605,0.534,1.121,6,0.179,0.713,0,0.527
missing_20,1,001013.png,0,0.5684,16.8,25.9,0.000934,0.274,0.576,6,0.0,0.0,0,0.495
missing_20,1,001044.png,1,0.7804,35.1,80.9,0.006098,0.353,1.057,6,0.0,0.0,0,0.512
missing_20,1,001044.png,0,0.5283,23.4,49.3,0.002475,0.235,0.705,6,0.0,0.0,0,0.485
missing_20,1,001100.png,1,0.92,101.5,173.8,0.037897,1.074,3.725,5,0.136,0.423,0,0.678
missing_20,1,001100.png,1,0.8259,36.4,91.5,0.00715,0.385,1.335,5,0.31,0.362,0,0.548
missing_20,1,001100.png,0,0.5274,27.6,50.5,0.002992,0.292,1.012,5,0.756,0.976,0,0.534
missing_20,1,001158.png,0,0.5436,106.7,110.1,0.025173,3.236,3.573,5,0.436,1.0,1,0.671
missing_20,1,001190.png,1,0.9055,100.2,131.4,0.028289,1.496,3.512,4,0.089,0.571,0,0.662
missing_20,1,001190.png,1,0.8596,65.7,94.7,0.013372,0.981,2.303,4,0.252,0.316,0,0.595
missing_20,1,001192.png,1,0.9345,104.2,149.9,0.033542,2.626,2.626,1,0.0,0.0,0,0.63
missing_20,1,001192.png,1,0.8347,69.4,96.4,0.01436,1.749,1.749,1,0.0,0.0,0,0.572
missing_20,1,001209.png,0,0.7218,53.7,128.2,0.014787,0.956,3.734,12,0.747,0.927,0,0.54
missing_30,1,000006.png,1,0.8673,65.6,188.9,0.02675,1.957,2.84,3,0.0,0.0,0,0.567
missing_30,1,000019.png,1,0.947,132.3,194.4,0.055217,-1.0,-1.0,0,0.0,0.0,0,0.666
missing_30,1,000019.png,0,0.6061,42.0,47.5,0.004286,-1.0,-1.0,0,0.0,0.0,0,0.513
missing_30,1,000019.png,1,0.5221,18.1,22.9,0.000892,-1.0,-1.0,0,0.0,0.0,0,0.518
missing_30,1,000060.png,0,0.5116,25.2,42.0,0.002271,0.399,1.366,2,0.0,0.0,0,0.505
missing_30,1,000107.png,1,0.9097,195.2,427.0,0.178904,2.437,5.535,3,0.171,0.194,1,0.735
missing_30,1,000107.png,1,0.8354,55.5,72.7,0.008661,0.693,1.574,3,0.0,0.0,0,0.552
missing_30,1,000107.png,1,0.7325,48.0,66.9,0.006901,0.6,1.362,3,0.238,0.71,0,0.532
missing_30,1,000136.png,1,0.9678,164.1,370.3,0.13049,3.759,6.112,5,0.003,0.003,1,0.779
missing_30,1,000178.png,1,0.9442,183.9,352.7,0.139285,3.571,7.308,6,0.248,0.338,1,0.752
missing_30,1,000178.png,1,0.9092,62.7,85.1,0.011449,1.217,2.491,6,0.417,0.468,0,0.561
missing_30,1,000178.png,0,0.6714,31.8,44.1,0.003011,0.617,1.262,6,0.0,0.0,0,0.529
missing_30,1,000194.png,1,0.9091,56.5,80.6,0.009776,1.919,1.919,1,0.0,0.0,0,0.554
missing_30,1,000286.png,1,0.9428,79.6,110.0,0.018813,2.498,3.838,7,0.049,0.058,0,0.599
missing_30,1,000286.png,1,0.9116,197.4,355.8,0.15079,6.192,9.513,7,0.312,0.414,0,0.731
missing_30,1,000286.png,1,0.7037,28.3,83.6,0.005074,0.886,1.362,7,0.0,0.0,0,0.533
missing_30,1,000292.png,1,0.9173,65.0,68.3,0.009531,-1.0,-1.0,0,0.0,0.0,0,0.549
missing_30,1,000295.png,1,0.9016,95.4,134.6,0.027569,-1.0,-1.0,0,0.0,0.0,0,0.633
missing_30,1,000332.png,1,0.8599,36.5,46.3,0.003655,-1.0,-1.0,0,0.0,0.0,0,0.528
missing_30,1,000357.png,1,0.9183,126.9,244.8,0.066579,2.298,3.633,3,0.299,0.301,0,0.667
missing_30,1,000357.png,1,0.9099,70.7,158.7,0.024048,1.28,2.024,3,0.085,0.145,0,0.566
missing_30,1,000357.png,1,0.8821,137.9,106.6,0.031517,2.497,3.948,3,0.0,0.0,1,0.668
missing_30,1,000357.png,1,0.8381,40.3,71.8,0.006202,0.73,1.154,3,0.062,0.158,0,0.537
missing_30,1,000357.png,1,0.5936,39.9,56.8,0.004859,0.722,1.142,3,0.254,0.642,0,0.537
missing_30,1,000386.png,1,0.8681,34.5,47.0,0.003471,0.579,0.918,7,0.062,0.245,0,0.53
missing_30,1,000421.png,1,0.9319,207.8,224.8,0.100285,6.46,10.406,6,0.009,0.009,1,0.718
missing_30,1,000460.png,1,0.8993,105.4,319.8,0.074461,-1.0,-1.0,0,0.0,0.0,0,0.58
missing_30,1,000462.png,1,0.9171,129.2,238.0,0.066031,1.456,1.946,5,0.142,0.357,0,0.644
missing_30,1,000462.png,1,0.8345,99.8,206.8,0.044304,1.124,1.503,5,0.454,0.463,0,0.574
missing_30,1,000493.png,1,0.5733,25.5,35.0,0.001913,0.598,0.75,3,0.0,0.0,0,0.513
missing_30,1,000512.png,1,0.864,31.9,57.1,0.003905,-1.0,-1.0,0,0.0,0.0,0,0.536
missing_30,1,000521.png,1,0.7181,42.6,78.8,0.007214,1.573,2.25,3,0.146,0.425,0,0.554
missing_30,1,000536.png,1,0.9347,158.0,161.8,0.05489,7.883,7.883,1,0.0,0.0,0,0.66
missing_30,1,000537.png,1,0.5992,21.4,36.5,0.001679,0.824,0.824,1,0.013,0.034,0,0.519
missing_30,1,000539.png,1,0.8231,33.3,71.8,0.005124,1.265,1.768,4,0.088,0.134,0,0.537
missing_30,1,000539.png,1,0.7565,44.0,39.9,0.003766,1.673,2.338,4,0.0,0.0,1,0.58
missing_30,1,000539.png,1,0.7479,23.8,45.0,0.002302,0.907,1.267,4,0.126,0.207,0,0.517
missing_30,1,000556.png,1,0.8385,28.9,85.0,0.005274,-1.0,-1.0,0,0.0,0.0,0,0.532
missing_30,1,000556.png,1,0.7901,29.3,40.6,0.002548,-1.0,-1.0,0,0.0,0.0,0,0.526
missing_30,1,000577.png,1,0.9033,123.6,173.1,0.045926,1.293,3.974,2,0.155,0.195,0,0.667
missing_30,1,000577.png,1,0.8436,63.1,69.5,0.009411,0.66,2.029,2,0.156,0.433,0,0.551
missing_30,1,000601.png,1,0.6537,22.8,25.9,0.001267,0.686,0.686,1,0.0,0.0,0,0.492
missing_30,1,000612.png,1,0.9204,160.1,250.8,0.086198,2.512,5.54,8,0.571,0.701,1,0.718
missing_30,1,000612.png,0,0.598,83.7,200.2,0.036006,1.314,2.899,8,0.493,0.766,0,0.579
missing_30,1,000623.png,1,0.9055,163.6,241.7,0.08489,3.144,6.535,4,0.0,0.0,1,0.781
missing_30,1,000623.png,1,0.8222,151.9,147.1,0.047978,2.92,6.07,4,0.0,0.0,1,0.796
missing_30,1,000647.png,1,0.838,38.0,53.0,0.004315,0.774,1.656,3,0.25,0.536,0,0.531
missing_30,1,000664.png,1,0.5068,37.1,38.7,0.003103,0.675,1.172,4,0.204,0.561,0,0.509
missing_30,1,000683.png,1,0.8407,27.9,26.7,0.001601,1.129,1.781,2,0.0,0.0,0,0.508
missing_30,1,000683.png,1,0.6305,24.7,36.5,0.001934,0.997,1.573,2,0.0,0.0,0,0.521
missing_30,1,000714.png,1,0.8907,69.7,185.3,0.027722,0.787,1.221,4,0.198,0.274,0,0.616
missing_30,1,000725.png,1,0.7598,41.6,60.6,0.005402,0.483,1.41,5,0.0,0.0,0,0.547
missing_30,1,000725.png,1,0.6005,29.2,42.2,0.002646,0.339,0.991,5,0.0,0.0,0,0.527
missing_30,1,000729.png,0,0.5949,38.3,90.7,0.007461,0.454,0.972,6,0.687,0.837,0,0.506
missing_30,1,000747.png,1,0.8177,31.3,51.5,0.003457,0.939,1.136,2,0.31,0.453,0,0.526
missing_30,1,000747.png,1,0.6725,18.2,23.0,0.000897,0.547,0.661,2,0.0,0.0,0,0.506
missing_30,1,000747.png,1,0.6663,27.7,30.3,0.001805,0.833,1.007,2,0.0,0.0,0,0.493
missing_30,1,000843.png,1,0.9357,123.0,195.0,0.051494,2.711,6.341,6,0.016,0.017,0,0.637
missing_30,1,000843.png,1,0.929,101.0,195.6,0.042391,2.226,5.206,6,0.05,0.125,0,0.659
missing_30,1,000846.png,0,0.696,38.2,108.0,0.008848,1.586,2.641,6,0.0,0.0,0,0.542
missing_30,1,000846.png,1,0.6837,22.7,58.7,0.002862,0.944,1.572,6,0.0,0.0,0,0.489
missing_30,1,000846.png,0,0.5873,31.7,89.3,0.006078,1.318,2.194,6,0.0,0.0,0,0.536
missing_30,1,000851.png,1,0.7529,28.7,30.6,0.001889,0.727,0.727,1,0.0,0.0,0,0.51
missing_30,1,000859.png,1,0.6242,18.5,25.3,0.001007,0.262,0.781,5,0.0,0.0,0,0.496
missing_30,1,000882.png,1,0.9392,158.1,218.8,0.074309,1.638,6.75,5,0.242,0.321,0,0.679
missing_30,1,000882.png,1,0.897,34.9,37.5,0.002812,0.362,1.49,5,0.0,0.0,0,0.496
missing_30,1,000882.png,1,0.8284,48.2,61.6,0.00638,0.499,2.058,5,0.052,0.059,0,0.503
missing_30,1,000893.png,1,0.899,52.1,127.3,0.01424,-1.0,-1.0,0,0.0,0.0,0,0.59
missing_30,1,000910.png,1,0.6419,43.2,45.7,0.004237,0.48,1.868,7,0.064,0.078,0,0.551
missing_30,1,000918.png,1,0.9528,201.3,399.0,0.172467,4.227,9.917,6,0.0,0.0,1,0.731
missing_30,1,000930.png,1,0.9407,212.8,373.5,0.170625,2.676,5.891,2,0.035,0.038,1,0.716
missing_30,1,000930.png,0,0.6126,27.6,32.0,0.001896,0.347,0.764,2,0.0,0.0,0,0.491
missing_30,1,000936.png,1,0.9273,190.2,213.1,0.087037,4.239,6.379,6,0.186,0.295,1,0.745
missing_30,1,000936.png,1,0.897,221.3,280.6,0.133307,4.93,7.42,6,0.0,0.0,1,0.702
missing_30,1,000936.png,1,0.821,78.5,219.6,0.037044,1.75,2.634,6,0.0,0.0,0,0.576
missing_30,1,000936.png,1,0.7665,64.1,140.9,0.01938,1.427,2.148,6,0.166,0.264,0,0.574
missing_30,1,000936.png,1,0.6846,52.8,108.5,0.012298,1.176,1.77,6,0.414,0.485,0,0.555
missing_30,1,000970.png,1,0.8528,46.4,62.7,0.00624,0.548,0.604,2,0.136,0.525,0,0.557
missing_30,1,000970.png,1,0.8386,32.5,41.0,0.00286,0.384,0.423,2,0.0,0.0,0,0.513
missing_30,1,000970.png,1,0.7915,37.3,124.1,0.009948,0.441,0.486,2,0.0,0.0,0,0.487
missing_30,1,000970.png,0,0.5361,154.5,85.1,0.028234,1.826,2.013,2,0.0,0.0,1,0.792
missing_30,1,000985.png,1,0.872,35.4,44.4,0.003366,0.779,2.149,9,0.0,0.0,0,0.538
missing_30,1,000985.png,0,0.5331,30.8,87.6,0.005783,0.678,1.871,9,0.297,0.963,0,0.538
missing_30,1,000985.png,0,0.5076,44.9,110.9,0.010684,0.989,2.73,9,0.575,1.0,0,0.56
missing_30,1,000998.png,1,0.8931,31.9,32.2,0.002208,0.765,1.661,5,0.0,0.0,0,0.518
missing_30,1,000998.png,1,0.8246,63.7,78.7,0.010773,1.528,3.317,5,0.223,0.615,0,0.564
missing_30,1,000998.png,1,0.808,57.1,97.3,0.011932,1.37,2.974,5,0.112,0.311,0,0.584
missing_30,1,001012.png,1,0.8673,44.3,64.2,0.006107,0.542,1.049,5,0.133,0.45,0,0.543
missing_30,1,001013.png,1,0.9229,193.8,370.6,0.153954,3.165,6.645,6,0.11,0.11,1,0.74
missing_30,1,001013.png,1,0.8661,38.2,57.8,0.004735,0.624,1.31,6,0.156,0.44,0,0.531
missing_30,1,001013.png,1,0.7421,116.2,154.6,0.038519,1.898,3.984,6,0.0,0.0,1,0.665
missing_30,1,001013.png,0,0.5684,16.8,25.9,0.000934,0.274,0.576,6,0.0,0.0,0,0.495
missing_30,1,001044.png,0,0.5283,23.4,49.3,0.002475,0.505,0.705,7,0.0,0.0,0,0.485
missing_30,1,001100.png,1,0.8266,113.2,100.6,0.024442,1.198,4.526,6,0.0,0.0,1,0.582
missing_30,1,001100.png,1,0.5951,43.2,51.7,0.004795,0.457,1.729,6,0.067,0.082,0,0.573
missing_30,1,001100.png,0,0.5274,27.6,50.5,0.002992,0.292,1.103,6,0.756,0.976,0,0.534
missing_30,1,001143.png,1,0.9242,107.4,211.2,0.048717,4.057,4.806,3,0.0,0.0,1,0.668
missing_30,1,001158.png,1,0.677,132.3,231.4,0.065623,4.014,4.432,4,0.0,0.0,0,0.671
missing_30,1,001158.png,1,0.5436,106.7,110.1,0.025173,3.236,3.573,4,0.0,0.0,1,0.671
missing_30,1,001167.png,1,0.8813,31.4,66.3,0.004473,-1.0,-1.0,0,0.0,0.0,0,0.523
missing_30,1,001190.png,1,0.8691,66.1,81.9,0.011611,0.889,2.314,6,0.0,0.0,0,0.567
missing_30,1,001192.png,1,0.8823,37.3,46.0,0.00368,0.352,0.512,2,0.0,0.0,0,0.525
missing_30,1,001209.png,1,0.9475,39.0,42.8,0.003584,0.46,2.711,6,0.0,0.0,0,0.523
missing_30,1,001209.png,1,0.9016,101.7,192.9,0.042126,1.201,7.07,6,0.359,0.452,0,0.609
missing_30,1,001209.png,1,0.7218,53.7,128.2,0.014787,0.634,3.734,6,0.68,0.927,0,0.54
missing_30,1,001209.png,1,0.5929,37.6,94.3,0.0076,0.443,2.61,6,0.263,0.731,0,0.514
missing_30,1,001209.png,1,0.5922,49.0,106.8,0.011241,0.579,3.408,6,0.48,0.876,0,0.532
clean,0,000019.png,0,0.6061,42.0,47.5,0.004286,0.307,2.075,2,0.0,0.0,0,0.513
clean,0,000060.png,0,0.5116,25.2,42.0,0.002271,0.399,1.366,2,0.0,0.0,0,0.505
clean,0,000178.png,0,0.6714,31.8,44.1,0.003011,0.613,1.262,8,0.0,0.0,0,0.529
clean,0,000612.png,0,0.598,83.7,200.2,0.036006,1.314,2.899,9,0.493,0.766,0,0.579
clean,0,000725.png,0,0.7598,41.6,60.6,0.005402,0.623,1.503,7,0.809,0.833,0,0.547
clean,0,000729.png,0,0.5949,38.3,90.7,0.007461,0.454,0.972,6,0.687,0.837,0,0.506
clean,0,000846.png,0,0.696,38.2,108.0,0.008848,1.587,2.641,7,0.0,0.0,0,0.542
clean,0,000846.png,0,0.5873,31.7,89.3,0.006078,1.318,2.194,7,0.0,0.0,0,0.536
clean,0,000930.png,0,0.6126,27.6,32.0,0.001896,0.347,0.764,3,0.0,0.0,0,0.491
clean,0,000970.png,0,0.5361,154.5,85.1,0.028234,3.414,4.722,6,0.0,0.0,1,0.792
clean,0,000985.png,0,0.5331,30.8,87.6,0.005783,0.762,1.871,11,0.297,0.963,0,0.538
clean,0,000985.png,0,0.5076,44.9,110.9,0.010684,1.112,2.73,11,0.575,1.0,0,0.56
clean,0,001013.png,0,0.5684,16.8,25.9,0.000934,0.274,0.576,9,0.0,0.0,0,0.495
clean,0,001044.png,0,0.5283,23.4,49.3,0.002475,0.505,0.705,7,0.0,0.0,0,0.485
clean,0,001100.png,0,0.5274,27.6,50.5,0.002992,0.292,1.103,8,0.756,0.976,0,0.534
clean,0,001158.png,0,0.5436,106.7,110.1,0.025173,3.236,3.573,5,0.436,1.0,1,0.671
clean,0,001209.png,0,0.7218,53.7,128.2,0.014787,1.315,3.734,13,0.747,0.927,0,0.54
scale_m30,0,000019.png,0,0.6061,42.0,47.5,0.004286,0.307,2.075,2,0.0,0.0,0,0.513
scale_m30,0,000060.png,0,0.5116,25.2,42.0,0.002271,0.399,1.366,2,0.0,0.0,0,0.505
scale_m30,0,000178.png,0,0.6714,31.8,44.1,0.003011,0.617,1.262,8,0.0,0.0,0,0.529
scale_m30,0,000539.png,0,0.8233,30.5,63.2,0.004145,1.335,1.66,7,0.399,0.399,0,0.528
scale_m30,0,000612.png,0,0.598,83.7,200.2,0.036006,1.314,4.141,9,0.493,0.766,0,0.579
scale_m30,0,000725.png,0,0.7598,41.6,60.6,0.005402,0.689,1.503,7,0.809,0.833,0,0.547
scale_m30,0,000729.png,0,0.5949,38.3,90.7,0.007461,0.454,1.078,6,0.687,0.837,0,0.506
scale_m30,0,000846.png,0,0.696,38.2,108.0,0.008848,1.587,2.641,7,0.0,0.0,0,0.542
scale_m30,0,000846.png,0,0.5873,31.7,89.3,0.006078,1.318,2.194,7,0.0,0.0,0,0.536
scale_m30,0,000930.png,0,0.6126,27.6,32.0,0.001896,0.347,1.092,3,0.0,0.0,0,0.491
scale_m30,0,000970.png,0,0.5361,154.5,85.1,0.028234,4.037,4.955,6,0.0,0.0,1,0.792
scale_m30,0,000985.png,0,0.5331,30.8,87.6,0.005783,1.034,1.871,11,0.297,0.963,0,0.538
scale_m30,0,000985.png,0,0.5076,44.9,110.9,0.010684,1.508,2.73,11,0.575,1.0,0,0.56
