condition,cond_type,suspicion,type_injected,image,tp,raw,w_dev,h_dev,dx,dy,margin,shift_vs_size,match_iou,conf,p_h,p_w,aspect,area_frac,n_labels,covered_by_others,touches_edge
clean,none,height,0,001209.png,0,0.1634,-0.0753,-0.1634,-0.0298,-0.045,-0.0881,-0.1184,0.774,0.3786,74.7,153.9,2.061,0.02467,13,0.892,0
clean,none,scale,0,001209.png,0,0.1498,0.1531,0.1465,0.0496,-0.0212,0.0066,-0.1035,0.756,0.5922,49.0,106.8,2.177,0.011241,13,0.81,0
clean,none,translation_x,0,001209.png,0,0.1528,0.0158,-0.0645,-0.1528,-0.0262,-0.0487,0.0883,0.695,0.2967,29.8,70.4,2.362,0.004505,13,0.704,0
width_m30,width,width,1,000060.png,0,0.2762,-0.2762,-0.0649,-0.1114,0.0218,0.2113,-0.1648,0.677,0.283,19.7,49.8,2.527,0.002105,2,0.0,0
width_m30,width,width,1,000066.png,1,0.3009,-0.3009,0.0834,-0.0114,-0.0051,0.2174,-0.2895,0.661,0.8335,34.9,38.7,1.109,0.002897,2,0.0,0
width_m30,width,width,1,000066.png,1,0.311,-0.311,-0.0248,-0.0357,0.0637,0.2862,-0.2473,0.615,0.8232,27.4,42.9,1.568,0.002523,2,0.0,0
width_m30,width,width,1,000075.png,0,0.1413,-0.1413,-0.0166,0.1143,0.0347,0.1247,-0.027,0.733,0.4814,25.3,49.2,1.942,0.002674,5,0.0,0
width_m30,width,width,1,000088.png,1,0.2637,-0.2637,-0.0655,0.0119,0.0108,0.1982,-0.2518,0.688,0.8502,59.7,187.4,3.139,0.024025,1,0.0,0
width_m30,width,width,1,000136.png,0,0.1698,0.1698,0.04,0.0714,-0.0001,0.1299,-0.0984,0.822,0.7334,57.5,162.3,2.823,0.020033,6,0.292,0
width_m30,width,translation_x,0,000136.png,0,0.1025,-0.0008,-0.033,0.1025,-0.0467,-0.0322,0.0695,0.746,0.7895,27.8,35.1,1.264,0.002093,6,0.069,0
width_m30,width,width,1,000136.png,1,0.2824,-0.2824,0.0058,0.018,-0.0123,0.2766,-0.2645,0.703,0.8907,39.2,52.7,1.345,0.004433,6,0.044,0
width_m30,width,width,1,000136.png,1,0.2986,-0.2986,-0.0183,0.0446,0.0747,0.2803,-0.2239,0.614,0.7798,51.1,166.6,3.257,0.018294,6,0.566,0
width_m30,width,width,1,000136.png,1,0.2737,-0.2737,0.184,-0.0099,0.1417,0.0896,-0.1319,0.59,0.7836,36.9,68.8,1.865,0.005446,6,0.0,0
width_m30,width,width,1,000178.png,1,0.2385,-0.2385,0.01,0.0484,0.0397,0.2285,-0.1901,0.711,0.3452,51.0,56.0,1.098,0.006132,8,0.973,0
width_m30,width,width,1,000194.png,1,0.2976,-0.2976,0.0268,0.0221,0.04,0.2708,-0.2576,0.659,0.8732,28.7,37.0,1.29,0.002279,2,0.0,0
width_m30,width,width,1,000229.png,1,0.2783,-0.2783,0.0166,0.0126,0.0205,0.2616,-0.2577,0.698,0.8137,25.8,25.8,0.998,0.001428,1,0.0,0
width_m30,width,width,1,000286.png,1,0.2762,-0.2762,-0.004,0.0303,0.0059,0.2721,-0.2459,0.716,0.8927,127.6,140.1,1.098,0.038397,11,0.77,0
width_m30,width,width,1,000286.png,1,0.317,-0.317,0.0871,0.0015,-0.0053,0.2299,-0.3118,0.645,0.8155,26.3,80.2,3.056,0.004522,11,0.149,0
width_m30,width,translation_x,0,000357.png,0,0.1061,0.0784,0.0416,-0.1061,-0.0603,0.0368,0.0277,0.73,0.5936,39.9,56.8,1.424,0.004859,8,0.661,0
width_m30,width,width,1,000386.png,1,0.2921,-0.2921,0.0153,-0.0075,0.0009,0.2769,-0.2846,0.7,0.8982,58.7,86.5,1.473,0.010881,8,0.13,0
width_m30,width,width,1,000386.png,1,0.2883,-0.2883,-0.0314,0.0486,0.0307,0.2569,-0.2397,0.671,0.8681,34.5,47.0,1.362,0.003471,8,0.0,0
width_m30,width,scale,0,000386.png,1,0.2861,-0.3902,-0.182,0.0722,-0.0254,0.2082,-0.318,0.499,0.3354,82.4,189.6,2.303,0.033474,8,1.0,0
width_m30,width,width,1,000406.png,1,0.2924,-0.2924,0.0274,0.0233,0.0189,0.265,-0.2691,0.688,0.9033,62.4,65.6,1.052,0.008793,1,0.0,0
width_m30,width,width,1,000421.png,1,0.3095,-0.3095,-0.0128,-0.0094,0.0214,0.2967,-0.2881,0.664,0.8709,33.7,85.6,2.541,0.006191,7,0.0,0
width_m30,width,width,1,000421.png,1,0.324,-0.324,0.0231,0.0135,0.0421,0.301,-0.282,0.632,0.6543,31.4,73.9,2.351,0.004991,7,0.534,0
width_m30,width,width,1,000421.png,1,0.3419,-0.3419,0.0206,-0.0158,0.0565,0.3214,-0.2854,0.601,0.6508,19.8,41.9,2.121,0.001777,7,0.0,0
width_m30,width,scale,0,000421.png,0,0.324,-0.3787,-0.2693,-0.13,-0.052,0.1095,-0.2488,0.454,0.4469,27.3,66.8,2.445,0.00392,7,0.683,0
width_m30,width,width,1,000460.png,1,0.2962,-0.2962,-0.0472,0.0142,0.0184,0.249,-0.2778,0.671,0.8993,105.4,319.8,3.033,0.074461,1,0.0,0
width_m30,width,width,1,000462.png,1,0.3,-0.3,-0.0077,-0.0,0.0036,0.2923,-0.2964,0.695,0.9322,99.5,179.3,1.802,0.038295,7,0.176,0
width_m30,width,width,1,000462.png,1,0.2911,-0.2911,-0.0211,0.0053,-0.0098,0.27,-0.2813,0.694,0.8345,99.8,206.8,2.072,0.044304,7,0.625,0
width_m30,width,width,1,000462.png,1,0.3238,-0.3238,0.0011,0.0135,-0.004,0.3227,-0.3103,0.672,0.9278,210.2,284.5,1.354,0.128416,7,0.13,1
width_m30,width,width,1,000462.png,1,0.3523,-0.3523,-0.0705,-0.0112,0.0862,0.2818,-0.2661,0.551,0.705,71.4,161.9,2.267,0.024831,7,0.86,0
width_m30,width,width,1,000493.png,0,0.1643,-0.1643,-0.0118,0.12,0.0117,0.1525,-0.0443,0.752,0.8197,34.4,42.6,1.238,0.003145,4,0.0,0
width_m30,width,width,1,000493.png,1,0.2861,-0.2861,-0.0029,-0.0219,-0.0012,0.2832,-0.2642,0.712,0.5733,25.5,35.0,1.372,0.001913,4,0.0,0
width_m30,width,width,1,000493.png,1,0.323,-0.323,-0.0313,-0.0202,-0.0128,0.2917,-0.3028,0.656,0.8875,44.0,59.7,1.355,0.005641,4,0.0,0
width_m30,width,width,1,000512.png,1,0.3082,-0.3082,0.0332,-0.0193,-0.0199,0.275,-0.2883,0.673,0.864,31.9,57.1,1.791,0.003905,1,0.0,0
width_m30,width,width,1,000521.png,1,0.2543,-0.2543,0.0464,0.0392,0.0511,0.2079,-0.2032,0.687,0.8512,25.9,25.7,0.994,0.001432,4,0.0,0
width_m30,width,width,1,000521.png,1,0.3063,-0.3063,-0.0278,-0.0003,0.0332,0.2785,-0.273,0.652,0.8935,61.4,132.9,2.166,0.017505,4,0.177,0
width_m30,width,width,1,000521.png,1,0.2172,-0.2172,-0.0291,0.0658,0.1324,0.1881,-0.0848,0.611,0.5935,19.5,26.8,1.371,0.001121,4,0.0,0
width_m30,width,height,0,000539.png,0,0.1396,-0.0533,-0.1396,-0.0104,-0.038,-0.0862,-0.1016,0.815,0.8233,30.5,63.2,2.07,0.004145,7,0.278,0
width_m30,width,width,1,000539.png,0,0.2256,0.2256,-0.0399,-0.1268,0.0656,0.1857,-0.0987,0.707,0.7479,23.8,45.0,1.888,0.002302,7,0.346,0
width_m30,width,width,1,000539.png,1,0.2956,-0.2956,-0.0411,0.0135,0.0147,0.2545,-0.2809,0.675,0.8726,40.2,105.9,2.634,0.009142,7,0.0,0
width_m30,width,width,1,000539.png,1,0.3239,-0.3239,-0.0404,-0.0314,0.0079,0.2835,-0.2925,0.649,0.8231,33.3,71.8,2.158,0.005124,7,0.0,0
width_m30,width,width,1,000539.png,1,0.4983,-0.4983,-0.1115,0.0748,-0.0205,0.3868,-0.4236,0.446,0.6364,21.2,47.7,2.253,0.002168,7,0.373,0
width_m30,width,width,1,000556.png,1,0.2663,-0.2663,-0.0969,0.0217,-0.0232,0.1694,-0.243,0.663,0.7901,29.3,40.6,1.387,0.002548,2,0.0,0
width_m30,width,width,1,000577.png,0,0.1938,0.1938,-0.1132,-0.1024,0.0588,0.0806,-0.0913,0.746,0.4308,130.9,69.6,0.532,0.019575,5,0.0,1
width_m30,width,width,1,000577.png,1,0.2662,-0.2662,0.0271,-0.053,0.0105,0.2391,-0.2132,0.719,0.8436,63.1,69.5,1.101,0.009411,5,0.48,0
width_m30,width,width,1,000601.png,1,0.3971,-0.3971,-0.0578,0.0068,0.0038,0.3393,-0.3903,0.568,0.6537,22.8,25.9,1.136,0.001267,2,0.0,0
width_m30,width,width,1,000612.png,1,0.2458,-0.2458,0.0183,-0.0327,0.0331,0.2275,-0.2126,0.713,0.6182,62.6,129.1,2.063,0.017343,9,0.256,0
width_m30,width,width,1,000612.png,1,0.3063,-0.3063,0.0055,-0.0017,-0.0058,0.3008,-0.3005,0.688,0.8479,77.9,116.7,1.498,0.01951,9,0.201,0
width_m30,width,width,1,000612.png,1,0.2689,-0.2689,0.1528,-0.0866,0.0571,0.1161,-0.1823,0.658,0.254,27.2,72.2,2.658,0.004215,9,0.776,0
width_m30,width,width,1,000612.png,1,0.2958,-0.2958,-0.0732,0.0092,-0.0073,0.2226,-0.2866,0.653,0.7897,101.1,234.7,2.321,0.050957,9,0.705,0
width_m30,width,width,1,000612.png,1,0.3174,-0.3174,0.018,0.0152,0.0448,0.2993,-0.2726,0.635,0.7403,45.4,146.3,3.226,0.014246,9,0.277,0
width_m30,width,width,1,000612.png,1,0.4092,-0.4092,0.2662,0.0496,-0.1841,0.1429,-0.225,0.472,0.2632,46.1,133.0,2.888,0.013155,9,0.249,0
width_m30,width,width,1,000616.png,0,0.1483,0.1483,0.0428,-0.0549,0.0122,0.1055,-0.0934,0.835,0.6724,30.2,43.9,1.455,0.002843,3,0.05,0
width_m30,width,width,1,000623.png,0,0.1745,-0.1745,-0.0241,0.0363,-0.07,0.1504,-0.1045,0.723,0.3458,81.7,184.4,2.257,0.032358,7,0.0,0
width_m30,width,width,1,000623.png,1,0.2802,-0.2802,0.037,0.0129,-0.0205,0.2433,-0.2598,0.699,0.8222,151.9,147.1,0.968,0.047978,7,0.0,1
width_m30,width,width,1,000623.png,1,0.2895,-0.2895,0.0199,0.0014,0.0206,0.2695,-0.2688,0.688,0.7567,51.0,78.3,1.536,0.008579,7,0.406,0
width_m30,width,width,1,000630.png,1,0.2782,-0.2782,0.0229,0.0154,-0.0053,0.2553,-0.2628,0.71,0.8081,31.0,31.9,1.03,0.00212,1,0.0,0
width_m30,width,width,1,000647.png,1,0.3226,-0.3226,0.0042,0.0007,-0.0169,0.3184,-0.3056,0.659,0.9008,64.4,73.8,1.147,0.010182,6,0.0,0
width_m30,width,width,1,000647.png,1,0.3552,-0.3552,0.0155,0.0227,-0.0033,0.3397,-0.3325,0.638,0.4465,48.3,74.9,1.551,0.007756,6,0.267,0
width_m30,width,width,1,000657.png,0,0.1335,-0.1335,-0.0373,-0.0163,-0.0605,0.0962,-0.073,0.77,0.3552,15.7,21.1,1.348,0.000709,2,0.0,0
width_m30,width,translation_y,0,000657.png,0,0.1368,0.0088,-0.0465,-0.0259,-0.1368,-0.0376,0.0904,0.721,0.5261,17.4,21.1,1.211,0.000788,2,0.0,0
width_m30,width,width,1,000664.png,0,0.2198,0.2198,0.0663,0.0964,-0.0158,0.1536,-0.1235,0.769,0.5068,37.1,38.7,1.042,0.003103,5,0.599,0
width_m30,width,width,1,000682.png,1,0.3136,-0.3136,-0.0138,-0.0009,-0.02,0.2998,-0.2936,0.662,0.6042,23.1,28.7,1.244,0.001423,2,0.0,0
width_m30,width,width,1,000683.png,1,0.3184,-0.3184,-0.0281,0.0731,0.0064,0.2903,-0.2454,0.662,0.6305,24.7,36.5,1.478,0.001934,4,0.0,0
width_m30,width,width,1,000714.png,1,0.2947,-0.2947,-0.0049,0.0037,0.0143,0.2898,-0.2804,0.688,0.9058,88.9,167.5,1.883,0.031979,6,0.0,0
width_m30,width,width,1,000714.png,1,0.3032,-0.3032,0.0472,-0.0044,-0.0056,0.256,-0.2976,0.675,0.9332,99.0,181.7,1.836,0.038615,6,0.0,0
width_m30,width,width,1,000714.png,1,0.2914,-0.2914,0.0044,-0.0082,-0.0322,0.287,-0.2592,0.671,0.8779,57.8,76.4,1.321,0.009487,6,0.0,0
width_m30,width,width,1,000714.png,1,0.3372,-0.3372,-0.0386,-0.0213,0.0255,0.2986,-0.3117,0.631,0.7726,59.4,156.9,2.643,0.019994,6,0.416,0
width_m30,width,width,1,000725.png,0,0.173,-0.173,-0.0084,-0.0649,0.0029,0.1645,-0.1081,0.82,0.7178,67.4,164.2,2.437,0.023699,7,0.27,0
width_m30,width,height,0,000725.png,0,0.1353,0.0702,-0.1353,0.035,0.0637,-0.0651,-0.0716,0.815,0.8326,185.2,130.5,0.705,0.051786,7,0.414,1
width_m30,width,width,1,000725.png,0,0.2127,0.2127,0.0014,0.1021,-0.0243,0.2113,-0.1106,0.789,0.7433,86.1,138.4,1.608,0.025543,7,0.852,1
width_m30,width,width,1,000725.png,1,0.2324,-0.2324,0.0569,-0.0691,0.0389,0.1755,-0.1633,0.722,0.488,37.4,50.1,1.337,0.00402,7,0.293,0
width_m30,width,width,1,000729.png,0,0.1238,0.1238,0.0875,-0.0762,0.0093,0.0363,-0.0476,0.797,0.6637,44.7,128.7,2.877,0.012365,6,0.479,0
width_m30,width,width,1,000729.png,1,0.2948,-0.2948,0.0109,-0.0025,-0.0113,0.2839,-0.2835,0.693,0.8966,138.1,297.1,2.151,0.0881,6,0.668,0
width_m30,width,width,1,000747.png,0,0.177,-0.177,-0.0386,-0.0779,0.0043,0.1384,-0.0991,0.791,0.4229,28.6,98.4,3.433,0.00605,5,0.0,0
width_m30,width,width,1,000747.png,0,0.1481,0.1481,0.0896,-0.0953,0.0145,0.0586,-0.0529,0.769,0.372,30.6,38.5,1.261,0.002527,5,0.446,0
width_m30,width,height,0,000747.png,0,0.2514,0.0713,0.2514,0.0237,0.0259,-0.18,-0.2255,0.746,0.6725,18.2,23.0,1.262,0.000897,5,0.0,0
width_m30,width,translation_y,0,000747.png,0,0.1316,-0.117,-0.0949,-0.056,0.1316,0.0221,0.0146,0.675,0.6663,27.7,30.3,1.094,0.001805,5,0.0,0
width_m30,width,width,1,000829.png,1,0.2916,-0.2916,0.0408,0.0222,0.0219,0.2508,-0.2694,0.687,0.799,40.4,53.1,1.315,0.004597,2,0.352,0
width_m30,width,width,1,000843.png,0,0.1251,-0.1251,0.0299,0.0239,-0.0637,0.0952,-0.0614,0.779,0.4797,18.8,25.8,1.373,0.001045,9,0.0,0
width_m30,width,width,1,000843.png,1,0.3017,-0.3017,0.0028,0.0081,-0.0224,0.299,-0.2793,0.672,0.9357,123.0,195.0,1.586,0.051494,9,0.001,0
width_m30,width,width,1,000843.png,1,0.3179,-0.3179,-0.0529,0.0057,-0.0173,0.265,-0.3006,0.646,0.929,101.0,195.6,1.937,0.042391,9,0.0,0
width_m30,width,width,1,000843.png,1,0.2919,-0.2919,-0.0493,-0.0159,-0.0506,0.2426,-0.2414,0.643,0.4749,30.2,43.0,1.426,0.002784,9,0.168,0
width_m30,width,width,1,000843.png,1,0.3203,-0.3203,0.0178,0.0126,0.0427,0.3025,-0.2776,0.635,0.9216,64.4,98.2,1.525,0.013567,9,0.238,0
width_m30,width,width,1,000846.png,0,0.1361,0.1361,0.0026,-0.038,0.0226,0.1336,-0.0981,0.843,0.6837,22.7,58.7,2.582,0.002862,7,0.0,0
width_m30,width,height,0,000846.png,0,0.2328,-0.044,-0.2328,0.007,-0.0514,-0.1888,-0.1815,0.733,0.5703,32.5,70.1,2.157,0.00489,7,0.168,0
width_m30,width,width,1,000846.png,1,0.3518,-0.3518,-0.0744,-0.0067,-0.1004,0.2774,-0.2514,0.537,0.5192,15.9,26.5,1.66,0.000907,7,0.0,0
width_m30,width,width,1,000846.png,0,0.5633,0.5633,0.0676,0.0473,-0.1453,0.4957,-0.418,0.499,0.558,22.5,56.9,2.524,0.002752,7,0.0,0
width_m30,width,width,1,000851.png,1,0.2196,-0.2196,-0.0023,-0.0345,-0.016,0.2173,-0.1851,0.758,0.7529,28.7,30.6,1.065,0.001889,2,0.0,0
width_m30,width,width,1,000859.png,0,0.2538,0.2538,0.0552,-0.136,-0.0309,0.1986,-0.1178,0.74,0.6945,172.6,106.1,0.615,0.039311,6,0.0,1
width_m30,width,width,1,000859.png,0,0.2669,0.2669,0.0911,-0.0987,0.0148,0.1758,-0.1682,0.723,0.6033,21.8,30.6,1.407,0.00143,6,0.304,0
width_m30,width,width,1,000859.png,1,0.2805,-0.2805,0.033,-0.0052,0.0108,0.2475,-0.2697,0.703,0.9184,116.8,165.8,1.419,0.041597,6,0.075,0
width_m30,width,width,1,000882.png,1,0.2974,-0.2974,-0.0202,-0.0047,0.0051,0.2772,-0.2923,0.688,0.9336,195.2,348.8,1.787,0.146193,9,0.0,1
width_m30,width,width,1,000882.png,1,0.3203,-0.3203,0.0407,-0.0049,0.0054,0.2796,-0.3148,0.661,0.9392,158.1,218.8,1.384,0.074309,9,0.248,0
width_m30,width,scale,0,000882.png,1,0.2644,-0.4074,-0.1214,0.0337,-0.0584,0.286,-0.349,0.521,0.6687,26.7,29.5,1.106,0.001689,9,0.0,0
width_m30,width,width,1,000893.png,1,0.269,-0.269,0.065,0.0078,-0.0131,0.204,-0.2559,0.698,0.899,52.1,127.3,2.444,0.01424,1,0.0,0
width_m30,width,width,1,000897.png,1,0.2635,-0.2635,0.0864,0.0028,0.0011,0.1771,-0.2607,0.692,0.7559,38.4,85.3,2.222,0.007023,2,0.0,0
width_m30,width,width,1,000910.png,0,0.1353,0.1353,0.0072,0.0346,0.0019,0.1281,-0.1007,0.875,0.397,26.6,56.4,2.125,0.003219,8,0.643,0
width_m30,width,width,1,000910.png,1,0.3136,-0.3136,-0.0209,0.0004,0.0158,0.2928,-0.2978,0.666,0.882,98.3,169.7,1.726,0.035839,8,0.412,0
width_m30,width,width,1,000910.png,1,0.3829,-0.3829,-0.0428,0.072,0.066,0.3401,-0.311,0.548,0.3961,24.2,28.6,1.183,0.001482,8,0.146,0
width_m30,width,width,1,000918.png,1,0.3361,-0.3361,0.017,-0.0199,0.015,0.3192,-0.3163,0.649,0.8583,54.4,69.3,1.274,0.00809,7,0.213,0
width_m30,width,width,1,000918.png,1,0.3453,-0.3453,0.0103,-0.0748,0.0473,0.3351,-0.2705,0.606,0.7536,41.2,56.8,1.377,0.005025,7,0.349,0
